26/08/2025 10:23:45 - H=69.0%, T=22.0C (71.6F), I=-5.56 A
26/08/2025 10:34:07 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:09 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:11 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:13 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:15 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:17 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:19 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:21 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:24 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:26 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:28 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:30 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:32 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:34:34 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:36:01 - H=71.0%, T=22.0C (71.6F), I=-0.00 A
26/08/2025 10:36:03 - H=71.0%, T=22.0C (71.6F), I=-0.00 A
26/08/2025 10:36:05 - H=71.0%, T=22.0C (71.6F), I=-0.00 A
26/08/2025 10:36:07 - H=71.0%, T=22.0C (71.6F), I=-0.00 A
26/08/2025 10:36:09 - H=71.0%, T=22.0C (71.6F), I=-0.00 A
26/08/2025 10:36:11 - H=72.0%, T=22.0C (71.6F), I=-0.00 A
26/08/2025 10:36:13 - H=71.0%, T=22.0C (71.6F), I=-0.00 A
26/08/2025 10:44:40 - H=71.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:44:42 - H=70.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:44:44 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:44:46 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:44:49 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:44:51 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:44:53 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:44:55 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:44:57 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:44:59 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:45:01 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:45:03 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:45:05 - H=72.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:45:07 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:45:09 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:45:11 - H=70.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:45:13 - H=70.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:45:15 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:45:17 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:45:19 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:21 - H=71.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:23 - H=71.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:25 - H=71.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:27 - H=71.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:45:29 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:31 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:33 - H=73.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:35 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:37 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:39 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:41 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:43 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:45 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:48 - H=73.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:50 - H=74.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:52 - H=73.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:54 - H=73.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:56 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:45:58 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:00 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:02 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:04 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:06 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:08 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:10 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:12 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:14 - H=73.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:16 - H=73.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:18 - H=73.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:20 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:22 - H=73.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:24 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:26 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:28 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:30 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:32 - H=73.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:34 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:36 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:38 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:40 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:42 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:44 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:47 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:49 - H=72.0%, T=21.0C (69.8F), I=-0.04 A
26/08/2025 10:46:51 - H=73.0%, T=22.0C (71.6F), I=-0.04 A
26/08/2025 10:46:53 - H=73.0%, T=22.0C (71.6F), I=-0.05 A
26/08/2025 10:46:55 - H=73.0%, T=22.0C (71.6F), I=-0.04 A
26/08/2025 10:46:57 - H=72.0%, T=22.0C (71.6F), I=-0.05 A
26/08/2025 10:46:59 - H=73.0%, T=22.0C (71.6F), I=-0.04 A
26/08/2025 10:47:54 - H=70.0%, T=22.0C (71.6F), I=-0.02 A
26/08/2025 10:47:56 - H=70.0%, T=22.0C (71.6F), I=-0.02 A
26/08/2025 10:47:58 - H=72.0%, T=22.0C (71.6F), I=-0.02 A
26/08/2025 10:48:00 - H=72.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:02 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:04 - H=73.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:06 - H=72.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:08 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:10 - H=72.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:12 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:14 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:16 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:18 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:20 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:22 - H=72.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:24 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:26 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:28 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:30 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:32 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:34 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:36 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:38 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:40 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:42 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:44 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:46 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:48 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:50 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:53 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:55 - H=70.0%, T=22.0C (71.6F), I=-0.04 A
26/08/2025 10:48:57 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:48:59 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:01 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:03 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:05 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:07 - H=71.0%, T=22.0C (71.6F), I=-0.04 A
26/08/2025 10:49:09 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:11 - H=71.0%, T=22.0C (71.6F), I=-0.04 A
26/08/2025 10:49:13 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:15 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:17 - H=70.0%, T=22.0C (71.6F), I=-0.04 A
26/08/2025 10:49:19 - H=71.0%, T=22.0C (71.6F), I=-0.04 A
26/08/2025 10:49:21 - H=70.0%, T=22.0C (71.6F), I=-0.04 A
26/08/2025 10:49:23 - H=70.0%, T=22.0C (71.6F), I=-0.04 A
26/08/2025 10:49:25 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:27 - H=70.0%, T=22.0C (71.6F), I=-0.04 A
26/08/2025 10:49:29 - H=70.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:31 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:33 - H=72.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:35 - H=72.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:37 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:39 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:41 - H=72.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:43 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:45 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:47 - H=72.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:49 - H=72.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:52 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:54 - H=71.0%, T=22.0C (71.6F), I=-0.04 A
26/08/2025 10:49:56 - H=72.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:49:58 - H=71.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:50:00 - H=72.0%, T=22.0C (71.6F), I=-0.04 A
26/08/2025 10:50:02 - H=72.0%, T=22.0C (71.6F), I=-0.03 A
26/08/2025 10:51:04 - H=70.0%, T=22.0C (71.6F), I=-0.01 A
26/08/2025 10:51:06 - H=71.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:51:08 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:51:10 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:51:12 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:51:14 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:16 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:19 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:21 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:23 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:25 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:27 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:29 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:31 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:33 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:35 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:37 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:39 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:41 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:43 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:45 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:47 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:49 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:51 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:53 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:55 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:57 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:51:59 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:01 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:03 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:05 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:07 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:09 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:11 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:13 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:15 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:18 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:20 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:22 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:24 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:26 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:28 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:30 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:32 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:34 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:36 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:38 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:40 - H=74.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:42 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:44 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:46 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:48 - H=73.0%, T=21.0C (69.8F), I=-0.03 A
26/08/2025 10:52:50 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:52:52 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:53:28 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:53:30 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:53:32 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:53:34 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:53:36 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:53:38 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:53:40 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:53:42 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:53:44 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:53:46 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:53:48 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:53:50 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:53:52 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:53:55 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:53:57 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:53:59 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:54:01 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:03 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:05 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:54:07 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:09 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:54:11 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:13 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:15 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:17 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:19 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:54:21 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:54:23 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:25 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:54:27 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:54:29 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:31 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:33 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:35 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:54:37 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:54:39 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:41 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:43 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:45 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:47 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:49 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:51 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:54 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:54:56 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:54:58 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:00 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:55:02 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:04 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:55:06 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:08 - H=72.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:10 - H=72.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:55:12 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:14 - H=73.0%, T=21.0C (69.8F), I=-0.02 A
26/08/2025 10:55:16 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:18 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:20 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:22 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
26/08/2025 10:55:24 - H=73.0%, T=21.0C (69.8F), I=-0.01 A
